Number of leaf symbols,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time
2,30,12,0,5,0
4,44,18,0,4,3
2,35,25,1,9,6
17,40,17,0,3,1
5,73,29,11,3,53
10,88,22,5,1,24
7,36,5,0,1,0
18,48,19,0,1,6
9,79,30,8,1,61
17,67,21,2,1,20
4,37,21,0,2,4
15,52,35,2,3,40
14,71,22,4,3,21
7,76,27,13,1,53
11,65,23,2,3,24
10,46,22,0,1,7
13,54,21,1,2,9
18,97,28,15,2,90
2,31,11,0,6,0
4,39,24,2,3,13
6,61,26,6,4,36
2,61,27,1,1,8
18,74,27,5,1,58
9,51,25,1,2,6
6,65,23,2,2,9
17,33,18,0,2,2
4,97,35,70,3,163
17,42,16,0,1,2
2,39,23,0,13,1
19,46,26,0,1,12
4,36,22,0,6,2
14,98,21,2,4,8
11,71,21,3,1,21
4,58,13,0,1,0
15,87,17,2,1,10
18,66,25,2,1,40
8,63,21,2,1,14
14,33,15,0,1,1
12,53,29,2,3,27
11,54,21,1,1,7
19,44,29,0,1,18
12,78,27,10,2,70
13,75,24,3,1,28
8,53,16,0,2,4
16,68,16,0,1,3
19,95,26,11,1,69
17,35,10,0,5,0
14,50,19,0,3,3
17,66,22,1,1,16
14,69,26,4,1,32
16,42,18,0,1,5
14,99,27,16,1,81
11,31,19,0,8,1
10,37,18,0,4,1
16,90,40,30,1,322
17,73,21,2,1,21
9,59,26,2,10,9
5,61,11,0,1,0
7,88,25,7,1,48
8,38,13,0,2,0
17,60,24,1,1,13
6,52,19,0,4,5
15,76,27,5,2,32
6,82,31,13,3,72
5,38,17,0,1,2
18,56,21,1,1,10
19,47,18,0,1,1
7,33,12,0,1,0
11,39,17,0,3,2
17,71,28,3,1,64
6,97,27,6,6,26
14,51,18,0,5,1
7,59,26,2,2,15
4,95,34,34,10,105
11,38,21,0,3,3
10,86,26,4,1,34
12,63,22,5,1,14
5,92,25,7,1,60
10,71,22,2,1,26
